NN,XX,YY
HACIENDA PUCARA,-76.0667,-11.5833
HUASCACOCHA,-76.0833,-11.5833
PUCARA,-76.0667,-11.5833
PUNABAMBA,-76.0833,-11.4833
SANTA RITA,-76.1167,-11.5833
TUCTU GOLF,-76.1333,-11.6
MOROCOCHA,-76.1018,-11.6113
HUACRAPUQUIO,-75.2023,-12.1681
ALCACOCHA,-76.3297,-10.6054
QUIULACOCHA,-76.2833,-10.7
TAMBO DEL SOL,-76.0891,-10.8907
CERRO DE PASCO,-76.2642,-10.6933
LA FUNDICION,-76.2667,-10.75
AYARACRA,-76.45,-10.8333
HUAYLLAY,-76.3667,-11
LA CRUZADA,-76.4,-11.0333
LAGUNA HUARON,-76.4167,-11.0167
LAGUNA PUN RUN,-76.45,-10.8333
SHELEY,-76.2333,-10.8167
UPAMAYO,-76.1017,-10.9479
UPAMAYO,-76.0943,-10.9552
CARHUAMAYO,-76.0667,-10.9167
CARHUAMAYO,-76.05,-10.9167
LUXOPATA,-76.0167,-10.9333
SAN BLAS,-76.1833,-11.1
CASAPATOS,-76.0076,-11.007
ATOCSAICO,-76.0667,-11.3
JUNIN,-75.9888,-11.1431
LA CIMA,-75.9167,-11.2833
ALPAMARCA,-76.45,-11.2167
CARHUACAYAN,-76.2833,-11.2
HUEQUE,-76.2833,-11.2333
RIO PALLANGA,-76.45,-11.15
SAN JOSE DE PALLANGA,-76.45,-11.15
SANTO DOMINGO,-76.3333,-11.1333
CANCHALLOC,-76.3,-11.4833
HACIENDA CORPACANCHA,-76.2167,-11.3667
MARCA (CAMPAMENTO DE REPOSO),-76.3333,-11.4167
MARCAPOMACOCHA,-76.325,-11.4044
YANTAC,-76.4,-11.3333
CURIPATA,-75.9833,-11.6167
HUARI,-75.8167,-11.6333
LA OROYA,-75.9,-11.5167
OROYA,-75.9,-11.5167
OROYA EXPERIMENTAL,-75.9167,-11.5
OROYA HIDRO,-75.9,-11.5167
OROYA MAYUPAMPA,-75.9,-11.5167
PACHACHACA,-75.9167,-11.5
QUIULLA,-75.8333,-11.6167
PACHACHACA,-75.9616,-11.6167
LA OROYA,-75.9585,-11.5676
TAZA OROYA,-75.9234,-11.5249
HUALLACOCHA,-76.1,-11.7667
PACHACHACA,-76.0333,-11.6167
POMACOCHA,-76.1167,-11.7167
POMACOCHA,-76.1333,-11.7333
SAN CRISTOBAL,-76.05,-11.7333
YAULI,-76.0833,-11.6667
SAN PEDRO DE CHUCLU,-75.4997,-11.7576
HACIENDA COCHAS,-75.8,-11.9667
HACIENDA PACHACAYO,-75.7167,-11.7667
HACIENDA PINASCOCHAS,-75.8333,-11.8167
PACHACAYO,-75.7167,-11.8167
YAURICOCHA,-75.9,-11.9667
JAUJA,-75.4744,-11.7836
YANAMA,-75.6278,-11.8237
CALICANTO,-75.6219,-11.8752
HACIENDA CONSAC,-75.615,-11.8622
ZONA VISCAS,-75.6731,-11.8188
HUARIPAMPA,-75.45,-11.8
SAN JUAN DE PAMPA,-75.3667,-11.8333
SAN LORENZO,-75.3833,-11.85
MANTARO,-75.3896,-11.8403
INGENIO,-75.2558,-11.8794
HUAYCHULO,-75.1,-11.8833
MARAVILCA,-75.1,-11.8833
FUNDO HUAYHUASC,-75.3167,-11.8667
SANTA ROSA DE OCOPA,-75.2833,-11.8667
SINCOS,-75.3744,-11.8915
ACOPAMPA,-75.1611,-11.9587
AZA,-75.2,-12.0167
CAJAS CHICO,-75.2167,-12.0667
