,MILLOC,LA PIRHUA,TAMBORAQUE,BELLAVISTA,RIO BLANCO,SAN JOSE DE PARAC,CASAPALCA,TICLIO
1/08/1999,17.84762383,5.910953522,0.91844207,9.245265007,1.805660486,1.285462856,9.245265007,5.309239388
1/09/1999,49.236866,33.502491,14.35723209,46.41115189,31.35750389,15.80370045,46.41115189,50.65893936
1/10/1999,91.63185883,75.1350174,30.30590248,80.72666931,52.08738708,44.7567482,80.72666931,87.0605011
1/11/1999,72.35163116,55.01727295,32.84182739,58.90496063,66.83682251,50.23201752,58.90496063,71.41024017
1/12/1999,165.3737793,106.8105469,67.95611572,137.5078125,99.97556305,83.80195618,137.5078125,141.8631592
1/01/2000,279.2112122,191.0475006,99.18977356,191.0846252,124.0540085,160.8944397,191.0846252,132.428299
1/02/2000,235.1086884,216.1035004,120.6270752,214.8416443,145.2065735,165.0153961,214.8416443,226.3679352
1/03/2000,203.1196442,171.5608368,122.2331238,171.9400635,143.0491028,156.1495361,171.9400635,170.0742493
1/04/2000,51.61911774,43.05324936,29.83458138,60.28735733,26.67985535,26.86396027,60.28735733,56.84708786
1/05/2000,48.50740051,24.95829582,8.177749634,36.43980789,14.5586586,11.79265499,36.43980789,35.68155289
1/06/2000,0.403291494,0.311095685,0.154106528,0.396039397,0.524169266,0.180526897,0.396039397,2.332748175
1/07/2000,10.72282028,3.876573801,0.955217123,7.165690422,2.21820569,1.920825362,7.165690422,12.31810474
1/08/2000,38.27168274,12.7202692,2.474600792,21.22997093,6.358716488,5.481111526,21.22997093,24.06239891
1/09/2000,15.16138649,23.44120598,12.53866959,42.04138947,28.69626045,4.471552849,42.04138947,29.30516815
1/10/2000,61.51663208,50.53155518,21.6341114,60.90558624,48.18929291,41.0350647,60.90558624,86.11373901
1/11/2000,48.72335815,34.99303818,16.73800087,39.81600571,34.10055161,20.62262344,39.81600571,44.16493607
1/12/2000,313.1751404,170.0908356,80.11653137,208.5368805,120.4126282,113.2915649,208.5368805,206.5800629
1/01/2001,319.3009033,236.3171844,121.7183609,220.1070404,134.9739227,175.5077667,220.1070404,159.6812592
1/02/2001,203.5653534,169.4106903,91.89862823,148.8069,111.7704468,102.7388916,148.8069,153.5670929
1/03/2001,367.9441833,259.9624939,139.5542603,223.7308807,133.9670105,169.6885681,223.7308807,197.3842773
1/04/2001,55.72021866,43.0739212,27.15762138,49.77896881,25.40896034,25.60486031,49.77896881,48.01512909
1/05/2001,16.59603882,8.016597748,2.189177036,17.23385429,6.276907921,4.615422249,17.23385429,28.72597694
1/06/2001,2.859326601,1.846742988,0.524647534,4.745104313,1.540871024,0.429997802,4.745104313,6.35640955
1/07/2001,12.70082951,4.12159586,0.938044071,8.856372833,1.896389246,1.12114501,8.856372833,17.50973511
